word1,word2,count
по,синий,301
синий,небо,291
под,номер,264
читать,газета,251
газета,под,239
лететь,лебедь,227
небо,читать,190
лебедь,по,177
лететь,дракончик,161
лететь,ворона,124
дракончик,есть,113
есть,пончик,113
лететь,корова,109
пончик,сколько,100
сколько,пончик,97
съесть,дракончик,97
пончик,съесть,94
ворона,по,58
корова,по,54
ворона,в,38
в,голубой,37
голубой,панталоны,37
улица,пушкин,29
пушкин,дом,29
панталоны,читать,28
слово,какой,24
дом,колотушкин,24
идти,собака,23
небо,и,22
идти,крокодил,22
по,рояль,22
собака,по,22
крокодил,трубка,20
трубка,курить,20
жевать,жвачка,19
какой,слово,19
квартира,под,19
собачка,жевать,18
лететь,гусь,15
и,читать,15
дракончик,кушать,15
кушать,пончик,15
рояль,и,15
и,сказать,15
жвачка,жвачка,14
жвачка,упасть,14
сказать,слово,14
колотушкин,квартира,14
идти,собачка,14
упасть,собачка,13
собачка,сказать,13
ляпнуть,слово,13
сказать,цифра,13
какой,любой,12
курить,трубка,12
и,написать,12
трубка,упасть,11
упасть,и,11
корова,сказать,11
загадать,число,10
слово,сказать,10
корова,ляпнуть,10
любой,например,9
сказать,корова,9
они,быть,8
жевать,пончик,7
синий,море,7
написать,слово,7
быть,ровно,7
лететь,котик,7
бежать,собачка,6
дракончик,жевать,6
ворона,читать,6
съесть,корова,6
гусь,по,6
небо,лететь,6
идти,корова,6
и,загадать,5
число,какой,5
море,читать,5
по,небо,5
и,есть,5
корова,есть,5
есть,слово,5
слово,съесть,5
есть,лимончик,5
лимончик,сколько,5
сколько,лимончик,5
лимончик,съесть,5
котик,есть,5
есть,наркотик,5
наркотик,сколько,5
сколько,наркотик,5
наркотик,съесть,5
съесть,котик,5
слово,такой,5
такой,очень,5
очень,простой,5
и,нажать,5
идти,лисичка,5
лисичка,по,5
жить,быть,4
быть,гном,4
тот,он,4
он,уметь,4
уметь,считать,4
корова,читать,4
гусь,кричать,4
кричать,жениться,4
лететь,стая,4
небо,они,4
лебедь,над,4
на,улица,4
нажать,нота,4
по,дорожка,4
гном,он,3
он,звать,3
звать,тот,3
считать,только,3
только,до,3
сколько,раз,3
по,белый,3
белый,небо,3
дракончик,скушать,3
скушать,пончик,3
дракончик,назвать,3
назвать,число,3
небо,сломать,3
сломать,крыло,3
на,буква,3
лебедь,читать,3
дракончик,и,3
дракончик,лопать,3
лопать,пончик,3
лететь,дракон,3
над,озеро,3
дом,калатушкин,3
калатушкин,квартира,3
считать,до,2
число,под,2
жениться,на,2
на,кто,2
кто,на,2
на,ты,2
ты,сколько,2
пончик,слопать,2
слопать,дракончик,2
лететь,крокодил,2
читать,журнал,2
читать,свой,2
свой,газета,2
например,говорить,2
крыло,загадать,2
номер,какой,2
синий,он,2
он,читать,2
лететь,сорок,2
корова,в,2
корова,и,2
и,ляпнуть,2
простой,слово,2
слово,ляпнуть,2
ляпнуть,корова,2
сорок,ворона,2
сорок,сорок,2
сколько,дракончик,2
дракончик,съесть,2
съесть,пончик,2
лететь,пончик,2
пончик,есть,2
есть,дракончик,2
лететь,дракончить,2
дракончить,есть,2
съесть,дракон,2
дракон,по,2
быть,ровный,2
ровный,счёт,2
лебедь,и,2
стая,дикий,2
дикий,лебедь,2
дорожка,и,2
выходить,на,2
буква,с,2
буква,широта,2
по,бульвар,2
упасть,собака,1
собака,сказать,1
жевать,жевачка,1
выйти,месяц,1
месяц,из,1
из,туман,1
давать,сыграть,1
давать,поговорить,1
поговорить,о,1
гном,звать,1
звать,он,1
он,тот,1
крокодил,читать,1
летать,дракончик,1
лететь,аист,1
аист,по,1
лететь,голубь,1
кричать,вернуться,1
вернуться,кричать,1
кричать,сколько,1
раз,цифра,1
гусь,сказать,1
сказать,жениться,1
жениться,какой,1
какой,число,1
число,жениться,1
жениться,гусь,1
пончик,пончик,1
дракончик,по,1
пончик,скушать,1
скушать,дракончик,1
лететь,журавль,1
лебедь,или,1
или,лететь,1
лебедь,кричать,1
лебедь,лететь,1
лететь,серый,1
серый,по,1
лебедь,пара,1
пара,раз,1
раз,по,1
журнал,под,1
небо,загадать,1
загадать,желание,1
желание,какой,1
любой,назвать,1
небо,кричать,1
кричать,число,1
крыло,сказать,1
сказать,число,1
небо,уронить,1
уронить,перо,1
перо,загадать,1
говорить,ты,1
газета,на,1
газета,номер,1
читать,плейбой,1
плейбой,под,1
лебедь,считать,1
считать,девять,1
лететь,по,1
небо,дракончик,1
в,больший,1
больший,панталоны,1
панталоны,держать,1
держать,газета,1
в,золотой,1
золотой,панталоны,1
ворона,если,1
если,цифра,1
цифра,по,1
есть,котлета,1
котлета,под,1
дракончик,если,1
если,пончик,1
ворона,сказать,1
сказать,ворона,1
газета,газета,1
под,помер,1
сорок,по,1
лететь,ворон,1
ворон,по,1
в,синий,1
синий,панталоны,1
панталоны,загадать,1
корова,вякнуть,1
вякнуть,слово,1
корова,жевать,1
жевать,слово,1
слово,жевать,1
жевать,корова,1
какой,простой,1
корова,ляпнуль,1
ляпнуль,слово,1
по,бел,1
бел,свет,1
свет,читать,1
небо,жевать,1
жвачка,с,1
с,вкус,1
небо,ляпнуть,1
корова,промолвить,1
промолвить,слово,1
корова,украсть,1
